problem,compiled,extract_type,time,problem_size,n_landmarks
24,True,noncausal,0.2073947535,37.0,62.0
25,False,backward,0.10927961566666666,37.0,107.0
25,False,forward,0.037305504999999996,37.0,62.0
25,False,noncausal,0.19505009033333334,37.0,62.0
25,True,backward,0.124360926,37.0,107.0
25,True,forward,0.418013069,37.0,62.0
25,True,noncausal,0.205098401,37.0,62.0
26,False,backward,0.12043571533333335,37.0,124.0
26,False,forward,0.03753242833333333,37.0,71.0
26,False,noncausal,0.21790571166666664,37.0,71.0
26,True,backward,0.13540285775,37.0,124.0
26,True,forward,0.41861986025,37.0,71.0
26,True,noncausal,0.2280988735,37.0,71.0
27,False,backward,0.12371626833333334,37.0,130.0
27,False,forward,0.037340342,37.0,75.0
27,False,noncausal,0.22902014466666665,37.0,75.0
27,True,backward,0.13919348625,37.0,130.0
27,True,forward,0.4183883405,37.0,75.0
27,True,noncausal,0.23664678625000002,37.0,75.0
28,False,backward,0.11540175800000001,37.0,115.0
28,False,forward,0.037479458,37.0,68.0
28,False,noncausal,0.20708913266666665,37.0,68.0
28,True,backward,0.13010782525,37.0,115.0
28,True,forward,0.4196720425,37.0,68.0
28,True,noncausal,0.217654628,37.0,68.0
29,False,backward,0.04344718733333333,32.0,44.0
29,False,forward,0.02256298433333333,32.0,25.0
29,False,noncausal,0.055809449000000004,32.0,25.0
29,True,backward,0.0571619205,32.0,44.0
29,True,forward,0.42377634000000003,32.0,25.0
29,True,noncausal,0.0664365885,32.0,25.0
30,False,backward,0.16921279666666666,49.0,59.0
30,False,forward,0.07527799,49.0,26.0
30,False,noncausal,0.20404187666666665,49.0,26.0
30,True,backward,0.183258338,49.0,59.0
30,True,forward,0.48079477775,49.0,26.0
30,True,noncausal,0.21417144025,49.0,26.0
31,False,backward,1.242072777,83.0,89.0
31,False,forward,0.44083221133333333,83.0,52.0
31,False,noncausal,2.1627264893333336,83.0,52.0
31,True,backward,1.2692000132499999,83.0,89.0
31,True,forward,0.8436118487500001,83.0,52.0
31,True,noncausal,2.1542756615,83.0,52.0
32,False,backward,2.8936899523333337,100.0,81.0
32,False,forward,1.5287941266666667,100.0,41.0
32,False,noncausal,3.6880152306666667,100.0,41.0
32,True,backward,2.90345642425,100.0,81.0
32,True,forward,1.9131442075,100.0,41.0
32,True,noncausal,3.6878153075,100.0,41.0
33,False,backward,0.20818819300000002,44.0,131.0
33,False,forward,0.059193396,44.0,84.0
33,False,noncausal,0.4647288203333333,44.0,84.0
33,True,backward,0.225570734,44.0,131.0
33,True,forward,0.44916158824999997,44.0,84.0
33,True,noncausal,0.4786302705,44.0,84.0
34,False,backward,0.21354608099999997,44.0,137.0
34,False,forward,0.058813020333333334,44.0,80.0
34,False,noncausal,0.442626836,44.0,80.0
34,True,backward,0.23278965825,44.0,137.0
34,True,forward,0.43883390975000003,44.0,80.0
34,True,noncausal,0.45267532175,44.0,80.0
35,False,backward,0.23952449033333334,44.0,150.0
35,False,forward,0.05888756433333333,44.0,90.0
35,False,noncausal,0.49465849866666667,44.0,90.0
35,True,backward,0.256417671,44.0,150.0
35,True,forward,0.44236654425,44.0,90.0
35,True,noncausal,0.500833097,44.0,90.0
36,False,backward,0.24066201933333334,44.0,148.0
36,False,forward,0.058997634,44.0,88.0
36,False,noncausal,0.48426552133333334,44.0,88.0
36,True,backward,0.25730659675,44.0,148.0
36,True,forward,0.44201032325,44.0,88.0
36,True,noncausal,0.494308726,44.0,88.0
37,False,backward,0.27947965066666663,44.0,195.0
37,False,forward,0.05931370266666666,44.0,109.0
37,False,noncausal,0.591538789,44.0,109.0
37,True,backward,0.32398040975,44.0,195.0
37,True,forward,0.442815808,44.0,109.0
37,True,noncausal,0.5989375415,44.0,109.0
38,False,backward,0.19650243833333333,44.0,123.0
38,False,forward,0.059462416,44.0,79.0
38,False,noncausal,0.45231837799999997,44.0,79.0
38,True,backward,0.22002947725,44.0,123.0
38,True,forward,0.44325017925,44.0,79.0
38,True,noncausal,0.4432893195,44.0,79.0
39,False,backward,0.491335007,51.0,164.0
