problem,compiled,extract_type,time,problem_size,n_landmarks
10,True,noncausal,1.802115304,34.0,4.0
11,False,backward,3.733051842666667,38.0,4.0
11,False,forward,3.4699256753333336,38.0,4.0
11,False,noncausal,3.484333772333333,38.0,4.0
11,True,backward,3.74855766225,38.0,4.0
11,True,forward,4.03222319575,38.0,4.0
11,True,noncausal,3.4621969420000003,38.0,4.0
12,False,backward,3.705220345666667,38.0,4.0
12,False,forward,3.4511417753333333,38.0,4.0
12,False,noncausal,3.445817959333333,38.0,4.0
12,True,backward,3.73768475175,38.0,4.0
12,True,forward,3.9981048325,38.0,4.0
12,True,noncausal,3.4782220972499998,38.0,4.0
13,False,backward,3.7103095926666665,38.0,4.0
13,False,forward,3.4485847703333334,38.0,4.0
13,False,noncausal,3.4330831190000004,38.0,4.0
13,True,backward,3.8492353945,38.0,4.0
13,True,forward,3.99955838075,38.0,4.0
13,True,noncausal,3.5742394927500003,38.0,4.0
14,False,backward,3.7535411943333337,38.0,4.0
14,False,forward,3.542555602,38.0,4.0
14,False,noncausal,3.4346802573333335,38.0,4.0
14,True,backward,3.7627324575,38.0,4.0
14,True,forward,4.03271493075,38.0,4.0
14,True,noncausal,3.477290905,38.0,4.0
15,False,backward,3.760879474,38.0,4.0
15,False,forward,3.4698661200000003,38.0,4.0
15,False,noncausal,3.4633224363333333,38.0,4.0
15,True,backward,3.7548584625,38.0,4.0
15,True,forward,4.01438463975,38.0,4.0
15,True,noncausal,3.4688500309999997,38.0,4.0
16,False,backward,7.0335167143333335,42.0,4.0
16,False,forward,6.769671238333333,42.0,4.0
16,False,noncausal,6.726586928333333,42.0,4.0
16,True,backward,7.61290592375,42.0,4.0
16,True,forward,7.86964751025,42.0,4.0
16,True,noncausal,7.3103957775,42.0,4.0
17,False,backward,7.596163376,42.0,4.0
17,False,forward,6.871027029333334,42.0,4.0
17,False,noncausal,7.177819006666667,42.0,4.0
17,True,backward,8.123672278,42.0,4.0
17,True,forward,8.0737945395,42.0,4.0
